post_id,post_url,content,platform,engagement_score,cluster_id,timestamp,author
1,https://twitter.com/health1/123,"New miracle supplement cures all diseases overnight! #health",Twitter,2300,A,"2024-03-15 10:00","@health_guru"
2,https://facebook.com/health2/456,"Ancient remedy discovered in remote jungle - cures everything!",Facebook,3400,A,"2024-03-15 10:05","NaturalCures"
3,https://twitter.com/health3/789,"Doctors don't want you to know about this healing crystal!",Twitter,4500,A,"2024-03-15 10:10","@wellness_truth"
4,https://instagram.com/tech1/101,"5G towers are controlling our minds - PROOF inside!",Instagram,2800,B,"2024-03-15 10:15","TechExpose"
5,https://twitter.com/tech2/102,"Government using smart devices to track citizens!",Twitter,3600,B,"2024-03-15 10:20","@digital_truth"
6,https://facebook.com/tech3/103,"AI robots secretly replacing humans in major cities",Facebook,4200,B,"2024-03-15 10:25","TechWatch"
7,https://twitter.com/env1/104,"URGENT: Toxic chemicals found in city water supply!",Twitter,5600,C,"2024-03-15 10:30","@eco_watch"
8,https://facebook.com/env2/105,"Secret document reveals massive environmental cover-up",Facebook,4800,C,"2024-03-15 10:35","GreenTruth"
9,https://instagram.com/env3/106,"Chemical trails spotted over major cities - SHARE NOW!",Instagram,6200,C,"2024-03-15 10:40","@sky_watch"
10,https://twitter.com/pol1/107,"Hidden political agenda revealed in leaked documents",Twitter,7100,D,"2024-03-15 10:45","@political_truth"
11,https://facebook.com/pol2/108,"Secret society controlling world governments exposed",Facebook,5900,D,"2024-03-15 10:50","TruthWatch"
12,https://twitter.com/pol3/109,"BREAKING: Political conspiracy reaches highest levels",Twitter,8200,D,"2024-03-15 10:55","@govt_watch"
13,https://instagram.com/celeb1/110,"Famous celebrity reveals shocking secret identity",Instagram,4300,E,"2024-03-15 11:00","celeb_insider"
14,https://twitter.com/celeb2/111,"Hollywood elites hiding major scandal - details inside",Twitter,5100,E,"2024-03-15 11:05","@fame_truth"
15,https://facebook.com/celeb3/112,"Celebrity exposes dark secrets of entertainment industry",Facebook,6300,E,"2024-03-15 11:10","EntertainmentExpose"
16,https://twitter.com/fin1/113,"New cryptocurrency will make everyone millionaires!",Twitter,3800,F,"2024-03-15 11:15","@crypto_guru"
17,https://facebook.com/fin2/114,"Secret investment strategy guarantees 1000% returns",Facebook,4600,F,"2024-03-15 11:20","WealthSecrets"
18,https://instagram.com/fin3/115,"Banks don't want you to know about this money hack",Instagram,5400,F,"2024-03-15 11:25","@money_truth"
19,https://twitter.com/sci1/116,"Scientists discover Earth is actually hollow - proof!",Twitter,6800,G,"2024-03-15 11:30","@science_truth"
20,https://facebook.com/sci2/117,"Hidden physics principles defy gravity - see how!",Facebook,5700,G,"2024-03-15 11:35","ScienceRevolution"
21,https://instagram.com/sci3/118,"Ancient civilization had advanced technology - evidence",Instagram,7200,G,"2024-03-15 11:40","@history_truth"
22,https://twitter.com/vax1/119,"Vaccine ingredients exposed - shocking truth revealed",Twitter,8400,H,"2024-03-15 11:45","@health_freedom"
23,https://facebook.com/vax2/120,"Natural alternatives to vaccines that actually work",Facebook,6900,H,"2024-03-15 11:50","VaccineTruth"
24,https://instagram.com/vax3/121,"Medical professionals speak out against vaccines",Instagram,7800,H,"2024-03-15 11:55","@medical_truth"
25,https://twitter.com/clim1/122,"Global warming hoax exposed by insider - details here",Twitter,4900,I,"2024-03-15 12:00","@climate_truth"
26,https://facebook.com/clim2/123,"Weather control technology being used secretly",Facebook,5800,I,"2024-03-15 12:05","WeatherWatch"
27,https://instagram.com/clim3/124,"Evidence that climate change is manufactured",Instagram,6700,I,"2024-03-15 12:10","@earth_truth"
28,https://twitter.com/unrest1/125,"BREAKING: Massive protests planned nationwide",Twitter,9100,J,"2024-03-15 12:15","@protest_watch"
29,https://facebook.com/unrest2/126,"Government preparing for civil unrest - leaked docs",Facebook,7600,J,"2024-03-15 12:20","CivilAlert"
30,https://instagram.com/unrest3/127,"Secret martial law plans discovered - share now!",Instagram,8500,J,"2024-03-15 12:25","@freedom_watch" 