post_id,post_url,content,platform,engagement_score,timestamp,author,cluster_id
1,https://twitter.com/health1/123,"New miracle supplement cures all diseases overnight! #health",Twitter,2300,"2025-04-04 10:00:00","@health_guru",A
2,https://facebook.com/health2/456,"Ancient remedy discovered in remote jungle - cures everything!",Facebook,3400,"2025-04-03 15:30:00","NaturalCures",A
3,https://twitter.com/health3/789,"Doctors don't want you to know about this healing crystal!",Twitter,4500,"2025-03-29 12:45:00","@wellness_truth",A
4,https://instagram.com/tech1/101,"5G towers are controlling our minds - PROOF inside!",Instagram,2800,"2025-04-04 09:15:00","TechExpose",B
5,https://twitter.com/tech2/102,"Government using smart devices to track citizens!",Twitter,3600,"2025-04-03 18:20:00","@digital_truth",B
6,https://facebook.com/tech3/103,"AI robots secretly replacing humans in major cities",Facebook,4200,"2025-03-15 14:25:00","TechWatch",B
7,https://twitter.com/env1/104,"URGENT: Toxic chemicals found in city water supply!",Twitter,5600,"2025-04-04 08:30:00","@eco_watch",C
8,https://facebook.com/env2/105,"Secret document reveals massive environmental cover-up",Facebook,4800,"2025-04-02 11:35:00","GreenTruth",C
9,https://instagram.com/env3/106,"Chemical trails spotted over major cities - SHARE NOW!",Instagram,6200,"2025-03-01 16:40:00","@sky_watch",C
10,https://twitter.com/pol1/107,"Hidden political agenda revealed in leaked documents",Twitter,7100,"2025-04-04 07:45:00","@political_truth",D
11,https://facebook.com/pol2/108,"Secret society controlling world governments exposed",Facebook,5900,"2025-04-03 13:50:00","TruthWatch",D
12,https://twitter.com/pol3/109,"BREAKING: Political conspiracy reaches highest levels",Twitter,8200,"2024-05-15 09:55:00","@govt_watch",D
13,https://instagram.com/celeb1/110,"Famous celebrity reveals shocking secret identity",Instagram,4300,"2025-04-04 11:00:00","celeb_insider",E
14,https://twitter.com/celeb2/111,"Hollywood elites hiding major scandal - details inside",Twitter,5100,"2025-03-28 14:05:00","@fame_truth",E
15,https://facebook.com/celeb3/112,"Celebrity exposes dark secrets of entertainment industry",Facebook,6300,"2024-06-10 17:10:00","EntertainmentExpose",E
16,https://twitter.com/fin1/113,"New cryptocurrency will make everyone millionaires!",Twitter,3800,"2025-04-04 12:15:00","@crypto_guru",F
17,https://facebook.com/fin2/114,"Secret investment strategy guarantees 1000% returns",Facebook,4600,"2025-03-29 15:20:00","WealthSecrets",F
18,https://instagram.com/fin3/115,"Banks don't want you to know about this money hack",Instagram,5400,"2024-07-20 10:25:00","@money_truth",F
19,https://twitter.com/sci1/116,"Scientists discover Earth is actually hollow - proof!",Twitter,6800,"2025-04-03 16:30:00","@science_truth",G
20,https://facebook.com/sci2/117,"Hidden physics principles defy gravity - see how!",Facebook,5700,"2025-03-25 19:35:00","ScienceRevolution",G
21,https://instagram.com/sci3/118,"Ancient civilization had advanced technology - evidence",Instagram,7200,"2024-08-15 13:40:00","@history_truth",G
22,https://twitter.com/vax1/119,"Vaccine ingredients exposed - shocking truth revealed",Twitter,8400,"2025-04-04 14:45:00","@health_freedom",H
23,https://facebook.com/vax2/120,"Natural alternatives to vaccines that actually work",Facebook,6900,"2025-03-30 17:50:00","VaccineTruth",H
24,https://instagram.com/vax3/121,"Medical professionals speak out against vaccines",Instagram,7800,"2024-09-01 11:55:00","@medical_truth",H
25,https://twitter.com/clim1/122,"Global warming hoax exposed by insider - details here",Twitter,4900,"2025-04-04 15:00:00","@climate_truth",I
26,https://facebook.com/clim2/123,"Weather control technology being used secretly",Facebook,5800,"2025-03-28 18:05:00","WeatherWatch",I
27,https://instagram.com/clim3/124,"Evidence that climate change is manufactured",Instagram,6700,"2024-10-10 12:10:00","@earth_truth",I
28,https://twitter.com/unrest1/125,"BREAKING: Massive protests planned nationwide",Twitter,9100,"2025-04-04 16:15:00","@protest_watch",J
29,https://facebook.com/unrest2/126,"Government preparing for civil unrest - leaked docs",Facebook,7600,"2025-03-29 19:20:00","CivilAlert",J
30,https://instagram.com/unrest3/127,"Secret martial law plans discovered - share now!",Instagram,8500,"2024-11-15 14:25:00","@freedom_watch",J 